ID,HAL ID,Title,Publication Date,Journal/Conference,Document Type,DOI,Authors,I2M Authors,Job Title,Research Groups,Membership Status,External Authors,Affiliations
3691863,hal-03691863,K-Reduced Groups And Milnor Invariants,2022,Unknown,Unknown,Unknown,"Akira Yasuhara, Benjamin Audoux, Jean-Baptiste Meilhan",['benjamin audoux'],['Professeur (PR)'],['GDAC'],['Current'],"['akira yasuhara', 'jean baptiste meilhan']","['Waseda University [Tokyo, Japan]', 'Institut Fourier']"
3696088,hal-03696088,Synthèse Temps-Échelle De Signaux Non Stationnaires,2022,Unknown,COMM,Unknown,"Adrien Meynard, Bruno Torrésani","['adrien meynard', 'bruno torresani']","['Doctorant (Phd Student)', 'Professeur (PR)']",['ALEA'],"['Former', 'Current']",[],[]
3718850,hal-03257774,Finite Volume Schemes And Lax-Wendroff Consistency,2022,CRAS Compte Rendu Académie des Sciences,ART,10.5802/crmeca.132.,"J.-C Latché, R Eymard, R Herbin, T Gallouët","['raphaele herbin', 'thierry gallouet']","['Professeure (PR)', 'Professeur (PR)']",['AA'],"['Former', 'Current']","['j. c latche', 'r eymard']","['Service des Agressions Internes et des risques Industriels', 'Université Gustave Eiffel']"
3697624,hal-03697624,Self-Dual And Lcd Double Circulant Codes Over A Class Of Non-Local Rings,2022,Computational & Applied Mathematics,ART,Unknown,"Habibul Islam, Om Prakash, Patrick Solé, Shikha Yadav",['patrick sole'],['Directeur de Recherche (DR)'],['AGLR'],['Current'],"['habibul islam', 'om prakash', 'shikha yadav']",['Indian Institute of Technology Patna']
3699171,hal-03672087,Some Solutions For Non-Homogeneous Smoothing,2022,Unknown,REPORT,Unknown,"Arsene Brice Zotsa Ngoufack, Ayoub Belhachmi, Chiara Cordier, Rutger A. Biezemans",['ngoufack arsene brice zotsa'],['Doctorant (Phd Student)'],['ALEA'],['Former'],"['ayoub belhachmi', 'chiara cordier', 'rutger a. biezemans']","['AlgebRe, geOmetrie, Modelisation et AlgoriTHmes', 'Laboratoire Angevin de Recherche en Mathématiques', 'MATHematics for MatERIALS']"
3701278,hal-03701278,Étude D'Un Algorithme D'Optimisation Pour Le Fading Temps-Fréquence,2022,Unknown,Unknown,Unknown,"Bruno Torrésani, Marina Krémé","['marina kreme', 'bruno torresani']","['Professeur (PR)', 'Attachée Temporaire d’Enseignement et de Recherche (ATER)']",['ALEA'],"['Former', 'Current']",[],[]
3707991,hal-03660738,Existence And Uniqueness In Critical Spaces For The Magnetohydrodynamical System In R N,2022,Unknown,Unknown,Unknown,Clément Denis,['clement denis'],['Doctorant (Phd Student)'],['AA'],['Former'],[],[]
3714056,hal-03225512,Spreading Speeds And Spreading Sets Of~Reaction-Diffusion Equations,2022,Unknown,Unknown,Unknown,"François Hamel, Luca Rossi",['francois hamel'],['Professeur (PR)'],['AA'],['Current'],['luca rossi'],"['Dipartimento di Matematica = Istituto Matematico ""Guido Castelnuovo"" [La Sapienza, Rome]']"
3717725,hal-03717725,Transfert Radiatif En Domaine Borné Avec Prise En Compte De La Cohérence Des Ondes Liée Aux Réflexions.,2022,Unknown,COMM,Unknown,"Adel Messaoudi, Christophe Gomez, Régis Cottereau","['adel messaoudi', 'christophe gomez']","['Doctorant (Phd Student)', 'Maître de Conférences (MCF H)']",['AA'],['Current'],['regis cottereau'],"[""Laboratoire de Mécanique et d'Acoustique [Marseille]""]"
3170491,hal-03170491,On Star-Moments Of The Compression Of The Free Unitary Brownian Motion By A Free Projection,2022,Journal of Operator Theory,ART,Unknown,"Nizar Demni, Tarek Hamdi",['nizar demni'],['Maître de Conférences (MCF H)'],['AGT'],['Current'],['tarek hamdi'],['Unknown']
